VendaID,ProdutoID,ValorVenda,DataVenda,LocalizacaoCliente,ClienteID,Nome,Idade,Localizacao,PreferenciaProduto
12,160,15.35,2024-08-22,Farias,743,Sr. Guilherme Lopes,60,Farias,Roupas
13,134,24.34,2023-12-25,Ramos,13,Dr. Davi Rocha,54,Ramos,Livros
13,134,24.34,2023-12-25,Ramos,76,Bruna da Mota,73,Ramos,Jogos
13,134,24.34,2023-12-25,Ramos,187,Gael Henrique da Cruz,68,Ramos,Jogos
13,134,24.34,2023-12-25,Ramos,578,Mathias Correia,43,Ramos,Livros
13,134,24.34,2023-12-25,Ramos,994,Dra. Cecília Sousa,68,Ramos,Livros
14,154,50.8,2024-02-24,da Mota de Nascimento,14,Nicolas da Cunha,65,da Mota de Nascimento,Roupas
15,105,81.79,2024-08-31,Aparecida,15,João Monteiro,54,Aparecida,Eletrodomésticos
15,105,81.79,2024-08-31,Aparecida,64,Yasmin Cassiano,41,Aparecida,Livros
15,105,81.79,2024-08-31,Aparecida,444,Lucca Câmara,55,Aparecida,Roupas
15,105,81.79,2024-08-31,Aparecida,538,Ayla Duarte,28,Aparecida,Livros
15,105,81.79,2024-08-31,Aparecida,548,Sr. Ravy Câmara,53,Aparecida,Eletrodomésticos
15,105,81.79,2024-08-31,Aparecida,664,Isaac Nunes,59,Aparecida,Roupas
15,105,81.79,2024-08-31,Aparecida,876,Arthur Campos,80,Aparecida,Livros
16,123,78.86,2023-11-15,Nascimento,16,Maria Júlia Silva,24,Nascimento,Roupas
16,123,78.86,2023-11-15,Nascimento,281,Sra. Natália Monteiro,51,Nascimento,Jogos
16,123,78.86,2023-11-15,Nascimento,515,Heloisa Oliveira,46,Nascimento,Roupas
16,123,78.86,2023-11-15,Nascimento,569,Gustavo Henrique Peixoto,71,Nascimento,Eletrônicos
16,123,78.86,2023-11-15,Nascimento,605,Thomas Fonseca,30,Nascimento,Jogos
16,123,78.86,2023-11-15,Nascimento,612,Marcela Sá,47,Nascimento,Eletrodomésticos
16,123,78.86,2023-11-15,Nascimento,715,Sr. Gustavo Henrique Pimenta,72,Nascimento,Roupas
17,139,44.19,2023-11-21,Duarte de Guerra,17,Marina da Mota,53,Duarte de Guerra,Roupas
18,164,55.41,2024-09-27,Rocha Verde,18,Luiz Felipe da Rosa,69,Rocha Verde,Livros
19,116,41.48,2024-06-25,Andrade,19,Dra. Luara Duarte,54,Andrade,Eletrodomésticos
19,116,41.48,2024-06-25,Andrade,291,Alícia Fernandes,63,Andrade,Eletrodomésticos
19,116,41.48,2024-06-25,Andrade,398,Benjamim Mendonça,56,Andrade,Livros
19,116,41.48,2024-06-25,Andrade,570,Liam Pereira,40,Andrade,Roupas
19,116,41.48,2024-06-25,Andrade,867,Pietro Silva,46,Andrade,Jogos
19,116,41.48,2024-06-25,Andrade,989,Sr. Antony Nogueira,63,Andrade,Jogos
20,108,21.54,2024-03-21,Guerra,20,Luiz Otávio Teixeira,75,Guerra,Roupas
20,108,21.54,2024-03-21,Guerra,280,Srta. Maria Teixeira,47,Guerra,Roupas
20,108,21.54,2024-03-21,Guerra,308,Luiz Felipe Ramos,71,Guerra,Jogos
20,108,21.54,2024-03-21,Guerra,455,Luiz Felipe Sales,47,Guerra,Eletrodomésticos
20,108,21.54,2024-03-21,Guerra,500,Alícia Pires,50,Guerra,Eletrônicos
20,108,21.54,2024-03-21,Guerra,562,Gustavo Henrique Almeida,75,Guerra,Roupas
20,108,21.54,2024-03-21,Guerra,597,Guilherme Nunes,74,Guerra,Roupas
20,108,21.54,2024-03-21,Guerra,716,Letícia Melo,33,Guerra,Eletrônicos
20,108,21.54,2024-03-21,Guerra,798,João Lucas da Cruz,41,Guerra,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,21,Ester Barros,76,Souza,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,62,Joana Fogaça,40,Souza,Livros
21,122,25.19,2024-02-06,Souza,117,Maria Julia Sampaio,56,Souza,Eletrodomésticos
21,122,25.19,2024-02-06,Souza,252,Manuela Cardoso,66,Souza,Roupas
21,122,25.19,2024-02-06,Souza,284,Ester Moraes,30,Souza,Eletrônicos
21,122,25.19,2024-02-06,Souza,599,Eloá Peixoto,54,Souza,Eletrônicos
21,122,25.19,2024-02-06,Souza,607,Rafael Campos,42,Souza,Eletrônicos
21,122,25.19,2024-02-06,Souza,632,Dante Santos,46,Souza,Eletrônicos
21,122,25.19,2024-02-06,Souza,662,Yan Andrade,31,Souza,Roupas
21,122,25.19,2024-02-06,Souza,927,Kaique Cirino,39,Souza,Roupas
21,122,25.19,2024-02-06,Souza,1000,Dra. Brenda Nogueira,19,Souza,Eletrodomésticos
22,193,8.54,2024-01-16,Alves de Minas,22,Dr. Fernando Cassiano,71,Alves de Minas,Jogos
23,168,7.35,2024-07-28,Pimenta Verde,23,Sra. Raquel Guerra,69,Pimenta Verde,Eletrônicos
24,154,22.66,2024-02-29,Pereira,24,Sr. Lucas Viana,74,Pereira,Eletrônicos
24,154,22.66,2024-02-29,Pereira,297,Sra. Ana Júlia Monteiro,54,Pereira,Livros
24,154,22.66,2024-02-29,Pereira,349,Luiz Fernando Teixeira,55,Pereira,Roupas
24,154,22.66,2024-02-29,Pereira,465,Srta. Laura Monteiro,53,Pereira,Livros
24,154,22.66,2024-02-29,Pereira,558,Maria Pires,76,Pereira,Livros
24,154,22.66,2024-02-29,Pereira,814,Joaquim Rios,64,Pereira,Jogos
24,154,22.66,2024-02-29,Pereira,923,Luana Fogaça,69,Pereira,Eletrodomésticos
25,140,32.93,2024-01-22,Pastor da Prata,25,Noah Barros,35,Pastor da Prata,Jogos
26,104,76.78,2024-05-28,Novais,26,Maria Clara Nascimento,64,Novais,Eletrônicos
26,104,76.78,2024-05-28,Novais,751,Dra. Heloisa Cunha,59,Novais,Eletrodomésticos
26,104,76.78,2024-05-28,Novais,779,Esther Oliveira,19,Novais,Livros
27,126,46.63,2024-05-16,Mendonça,27,Aylla Fonseca,45,Mendonça,Eletrônicos
27,126,46.63,2024-05-16,Mendonça,221,Dr. João Miguel Ribeiro,65,Mendonça,Eletrodomésticos
27,126,46.63,2024-05-16,Mendonça,307,Júlia Correia,29,Mendonça,Livros
27,126,46.63,2024-05-16,Mendonça,358,Pedro Henrique Macedo,78,Mendonça,Eletrodomésticos
27,126,46.63,2024-05-16,Mendonça,837,Pietra Azevedo,27,Mendonça,Roupas
28,133,39.02,2023-12-20,Nascimento de Minas,28,Miguel Moraes,54,Nascimento de Minas,Eletrônicos
29,103,59.86,2024-05-23,Campos das Pedras,29,Bruna Novaes,19,Campos das Pedras,Eletrodomésticos
30,104,22.35,2024-03-12,Silva Paulista,30,Srta. Emanuella Camargo,74,Silva Paulista,Eletrodomésticos
31,121,98.04,2024-01-28,Mendes,31,Miguel Araújo,48,Mendes,Jogos
31,121,98.04,2024-01-28,Mendes,634,Erick Nogueira,37,Mendes,Eletrônicos
32,118,50.21,2024-01-03,Marques das Flores,32,Dr. Felipe Martins,38,Marques das Flores,Eletrônicos
33,193,69.4,2024-04-22,Alves,33,Alícia da Mata,59,Alves,Eletrônicos
33,193,69.4,2024-04-22,Alves,219,Ana Cecília das Neves,67,Alves,Eletrodomésticos
33,193,69.4,2024-04-22,Alves,637,Esther Fogaça,57,Alves,Livros
33,193,69.4,2024-04-22,Alves,806,Leandro Guerra,27,Alves,Eletrodomésticos
34,198,49.68,2024-08-06,Monteiro do Norte,34,Antonella Castro,27,Monteiro do Norte,Livros
34,198,49.68,2024-08-06,Monteiro do Norte,200,Ana Vitória Cassiano,54,Monteiro do Norte,Jogos
35,102,33.47,2024-09-27,Sales Paulista,35,Maria Júlia Barbosa,56,Sales Paulista,Jogos
36,190,36.45,2023-10-14,da Conceição,36,Henry Aragão,23,da Conceição,Eletrônicos
36,190,36.45,2023-10-14,da Conceição,71,Vitor Hugo Ramos,75,da Conceição,Jogos
36,190,36.45,2023-10-14,da Conceição,127,Eduardo Aragão,31,da Conceição,Eletrônicos
36,190,36.45,2023-10-14,da Conceição,728,Sr. João Guilherme Câmara,45,da Conceição,Livros
37,191,15.98,2024-08-09,Peixoto,3,Davi Lucca Aparecida,31,Peixoto,Roupas
37,191,15.98,2024-08-09,Peixoto,37,Srta. Maria Eduarda da Cruz,55,Peixoto,Eletrodomésticos
37,191,15.98,2024-08-09,Peixoto,120,Rafaela Andrade,57,Peixoto,Eletrônicos
37,191,15.98,2024-08-09,Peixoto,482,Luan da Conceição,26,Peixoto,Jogos
37,191,15.98,2024-08-09,Peixoto,691,João Miguel Santos,21,Peixoto,Eletrodomésticos
37,191,15.98,2024-08-09,Peixoto,855,Daniela Araújo,23,Peixoto,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,38,Sra. Ayla Souza,67,Siqueira,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,123,Bruna Azevedo,75,Siqueira,Jogos
38,159,10.84,2024-05-15,Siqueira,199,Yago Araújo,47,Siqueira,Roupas
38,159,10.84,2024-05-15,Siqueira,353,Eduardo Martins,26,Siqueira,Eletrônicos
38,159,10.84,2024-05-15,Siqueira,838,Yan da Conceição,36,Siqueira,Eletrodomésticos
38,159,10.84,2024-05-15,Siqueira,977,Erick Fogaça,30,Siqueira,Livros
39,184,25.1,2024-02-12,Costela,39,Sr. Davi Lucas Barros,59,Costela,Eletrônicos
39,184,25.1,2024-02-12,Costela,57,Luiz Fernando Leão,19,Costela,Livros
39,184,25.1,2024-02-12,Costela,109,Lunna Vieira,18,Costela,Livros
39,184,25.1,2024-02-12,Costela,411,Helena Santos,52,Costela,Eletrônicos
39,184,25.1,2024-02-12,Costela,491,Dr. Luan Machado,74,Costela,Eletrônicos
40,189,53.3,2023-11-16,Vieira,40,Dr. José Miguel Santos,55,Vieira,Livros
40,189,53.3,2023-11-16,Vieira,138,Elisa Silva,34,Vieira,Livros
40,189,53.3,2023-11-16,Vieira,462,Murilo Sampaio,61,Vieira,Roupas
40,189,53.3,2023-11-16,Vieira,513,Helena Fogaça,67,Vieira,Eletrônicos
40,189,53.3,2023-11-16,Vieira,954,Davi Lucas Aparecida,61,Vieira,Eletrodomésticos
41,155,45.44,2024-09-16,Garcia,41,Levi Ramos,27,Garcia,Roupas
41,155,45.44,2024-09-16,Garcia,330,Ravi Lucca Cardoso,77,Garcia,Eletrodomésticos
41,155,45.44,2024-09-16,Garcia,355,Gabriel Costela,28,Garcia,Eletrônicos
41,155,45.44,2024-09-16,Garcia,477,Juan Porto,77,Garcia,Livros
41,155,45.44,2024-09-16,Garcia,586,Fernando Guerra,70,Garcia,Eletrônicos
41,155,45.44,2024-09-16,Garcia,689,Leandro Novaes,65,Garcia,Jogos
42,192,49.12,2024-01-01,Barros,42,Dra. Laís Rios,28,Barros,Livros
42,192,49.12,2024-01-01,Barros,344,Paulo Dias,73,Barros,Livros
42,192,49.12,2024-01-01,Barros,893,Nathan Silva,63,Barros,Jogos
42,192,49.12,2024-01-01,Barros,936,Enzo Viana,59,Barros,Livros
43,185,8.88,2024-08-07,Abreu do Norte,43,Luiz Fernando Correia,43,Abreu do Norte,Eletrônicos
44,166,18.86,2023-10-26,Nascimento de da Mata,44,Asafe da Mata,52,Nascimento de da Mata,Eletrônicos
45,120,65.21,2024-07-09,Moreira de Monteiro,45,Sr. Davi Lucas Campos,53,Moreira de Monteiro,Livros
46,152,47.9,2024-03-01,Rodrigues de da Rosa,46,Sra. Stephany Marques,23,Rodrigues de da Rosa,Eletrônicos
47,169,39.45,2024-07-04,Monteiro dos Dourados,47,Marina Cardoso,38,Monteiro dos Dourados,Eletrodomésticos
48,182,68.29,2024-07-02,Lima de Goiás,48,Vicente da Mata,43,Lima de Goiás,Roupas
48,182,68.29,2024-07-02,Lima de Goiás,758,Théo Nogueira,55,Lima de Goiás,Eletrodomésticos
49,107,85.51,2024-05-04,Sampaio,49,Maria Helena Pacheco,33,Sampaio,Eletrodomésticos
49,107,85.51,2024-05-04,Sampaio,283,Sra. Eduarda da Rocha,62,Sampaio,Eletrônicos
49,107,85.51,2024-05-04,Sampaio,871,Igor Machado,27,Sampaio,Eletrônicos
49,107,85.51,2024-05-04,Sampaio,909,Breno Campos,74,Sampaio,Jogos
50,145,39.33,2024-04-27,da Luz de Goiás,50,Luiza Moraes,28,da Luz de Goiás,Jogos
51,179,5.85,2023-10-10,Pastor da Serra,51,Liz da Luz,68,Pastor da Serra,Roupas
52,161,88.5,2024-01-21,da Mata de da Mota,52,Rafael Cavalcante,72,da Mata de da Mota,Jogos
53,139,48.31,2024-02-05,Lopes de Alves,53,Srta. Daniela Gomes,29,Lopes de Alves,Eletrodomésticos
54,195,94.74,2023-11-10,Silveira,54,Luiz Miguel Casa Grande,58,Silveira,Livros
54,195,94.74,2023-11-10,Silveira,134,Fernando Cunha,56,Silveira,Eletrônicos
54,195,94.74,2023-11-10,Silveira,590,Carlos Eduardo Silveira,50,Silveira,Livros
54,195,94.74,2023-11-10,Silveira,933,Ester Albuquerque,63,Silveira,Livros
55,151,25.68,2024-03-13,Viana dos Dourados,55,Helena Novaes,69,Viana dos Dourados,Jogos
56,180,93.64,2024-07-24,Cardoso,56,Vinícius Ribeiro,80,Cardoso,Eletrônicos
56,180,93.64,2024-07-24,Cardoso,92,Sophie Siqueira,68,Cardoso,Jogos
56,180,93.64,2024-07-24,Cardoso,384,Sr. Caleb Jesus,63,Cardoso,Jogos
56,180,93.64,2024-07-24,Cardoso,512,Caroline Azevedo,70,Cardoso,Livros
57,124,4.25,2024-09-24,Costela,39,Sr. Davi Lucas Barros,59,Costela,Eletrônicos
57,124,4.25,2024-09-24,Costela,57,Luiz Fernando Leão,19,Costela,Livros
57,124,4.25,2024-09-24,Costela,109,Lunna Vieira,18,Costela,Livros
57,124,4.25,2024-09-24,Costela,411,Helena Santos,52,Costela,Eletrônicos
57,124,4.25,2024-09-24,Costela,491,Dr. Luan Machado,74,Costela,Eletrônicos
58,128,58.75,2024-08-09,Sá,11,Isabelly Farias,18,Sá,Livros
58,128,58.75,2024-08-09,Sá,58,Dom Albuquerque,78,Sá,Roupas
58,128,58.75,2024-08-09,Sá,422,Sr. Pedro Lucas da Luz,46,Sá,Roupas
58,128,58.75,2024-08-09,Sá,631,Dr. José Miguel da Costa,73,Sá,Livros
59,150,94.86,2024-03-22,Martins do Campo,59,Maria Cecília Castro,39,Martins do Campo,Eletrodomésticos
60,152,96.45,2024-03-23,Correia,60,Natália Jesus,36,Correia,Eletrodomésticos
60,152,96.45,2024-03-23,Correia,172,Antonella Farias,34,Correia,Jogos
60,152,96.45,2024-03-23,Correia,333,Manuela das Neves,36,Correia,Eletrônicos
60,152,96.45,2024-03-23,Correia,409,Evelyn Araújo,30,Correia,Jogos
60,152,96.45,2024-03-23,Correia,900,Enzo Gonçalves,51,Correia,Livros
61,142,72.06,2023-12-17,Almeida,61,Asafe da Mata,60,Almeida,Eletrônicos
61,142,72.06,2023-12-17,Almeida,112,Heitor Pastor,33,Almeida,Roupas
61,142,72.06,2023-12-17,Almeida,167,Leonardo da Mota,80,Almeida,Eletrodomésticos
61,142,72.06,2023-12-17,Almeida,604,Luan Mendes,58,Almeida,Roupas
61,142,72.06,2023-12-17,Almeida,620,Vinicius Pires,38,Almeida,Eletrônicos
61,142,72.06,2023-12-17,Almeida,761,Ana Liz Câmara,44,Almeida,Eletrodomésticos
61,142,72.06,2023-12-17,Almeida,901,Srta. Clara Marques,44,Almeida,Eletrônicos
62,114,82.2,2024-07-26,Souza,21,Ester Barros,76,Souza,Eletrodomésticos
62,114,82.2,2024-07-26,Souza,62,Joana Fogaça,40,Souza,Livros
62,114,82.2,2024-07-26,Souza,117,Maria Julia Sampaio,56,Souza,Eletrodomésticos
62,114,82.2,2024-07-26,Souza,252,Manuela Cardoso,66,Souza,Roupas
62,114,82.2,2024-07-26,Souza,284,Ester Moraes,30,Souza,Eletrônicos
62,114,82.2,2024-07-26,Souza,599,Eloá Peixoto,54,Souza,Eletrônicos
62,114,82.2,2024-07-26,Souza,607,Rafael Campos,42,Souza,Eletrônicos
62,114,82.2,2024-07-26,Souza,632,Dante Santos,46,Souza,Eletrônicos
62,114,82.2,2024-07-26,Souza,662,Yan Andrade,31,Souza,Roupas
62,114,82.2,2024-07-26,Souza,927,Kaique Cirino,39,Souza,Roupas
62,114,82.2,2024-07-26,Souza,1000,Dra. Brenda Nogueira,19,Souza,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,63,Liam Freitas,46,Gonçalves,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,228,João Guilherme Nogueira,57,Gonçalves,Eletrodomésticos
63,163,26.64,2024-09-25,Gonçalves,236,Marcela Sampaio,56,Gonçalves,Livros
63,163,26.64,2024-09-25,Gonçalves,450,João Monteiro,27,Gonçalves,Livros
63,163,26.64,2024-09-25,Gonçalves,717,Beatriz Aragão,27,Gonçalves,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,15,João Monteiro,54,Aparecida,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,64,Yasmin Cassiano,41,Aparecida,Livros
64,176,73.3,2024-04-26,Aparecida,444,Lucca Câmara,55,Aparecida,Roupas
64,176,73.3,2024-04-26,Aparecida,538,Ayla Duarte,28,Aparecida,Livros
64,176,73.3,2024-04-26,Aparecida,548,Sr. Ravy Câmara,53,Aparecida,Eletrodomésticos
64,176,73.3,2024-04-26,Aparecida,664,Isaac Nunes,59,Aparecida,Roupas
64,176,73.3,2024-04-26,Aparecida,876,Arthur Campos,80,Aparecida,Livros
65,166,98.88,2024-09-14,Lima,65,Sr. João Lucas Novaes,78,Lima,Eletrônicos
65,166,98.88,2024-09-14,Lima,524,Cauê Vasconcelos,60,Lima,Roupas
65,166,98.88,2024-09-14,Lima,630,Alana Porto,49,Lima,Livros
66,165,12.78,2024-03-08,Guerra da Praia,66,Bruno da Conceição,21,Guerra da Praia,Eletrodomésticos
67,145,17.6,2024-05-08,Azevedo Alegre,67,Dr. Luiz Otávio Sá,25,Azevedo Alegre,Eletrônicos
67,145,17.6,2024-05-08,Azevedo Alegre,171,Ana Beatriz Albuquerque,47,Azevedo Alegre,Roupas
68,141,9.42,2023-10-06,Siqueira da Serra,68,Olivia Machado,64,Siqueira da Serra,Roupas
69,162,63.9,2024-03-26,Casa Grande Grande,69,Júlia Silveira,80,Casa Grande Grande,Livros
70,134,56.55,2024-04-30,Montenegro,70,Davi Lucca Sampaio,29,Montenegro,Eletrônicos
70,134,56.55,2024-04-30,Montenegro,302,Antony das Neves,51,Montenegro,Eletrônicos
70,134,56.55,2024-04-30,Montenegro,501,Daniela da Mata,64,Montenegro,Jogos
70,134,56.55,2024-04-30,Montenegro,850,Léo Cavalcante,35,Montenegro,Livros
70,134,56.55,2024-04-30,Montenegro,968,Gabriel Pastor,49,Montenegro,Livros
71,103,20.36,2024-04-27,da Conceição,36,Henry Aragão,23,da Conceição,Eletrônicos
71,103,20.36,2024-04-27,da Conceição,71,Vitor Hugo Ramos,75,da Conceição,Jogos
71,103,20.36,2024-04-27,da Conceição,127,Eduardo Aragão,31,da Conceição,Eletrônicos
71,103,20.36,2024-04-27,da Conceição,728,Sr. João Guilherme Câmara,45,da Conceição,Livros
72,165,17.41,2024-09-19,Vasconcelos,72,Kevin Silveira,30,Vasconcelos,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,106,Gustavo Freitas,79,Vasconcelos,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,393,Cauã Lima,80,Vasconcelos,Eletrônicos
72,165,17.41,2024-09-19,Vasconcelos,533,Sr. Davi Miguel Oliveira,24,Vasconcelos,Livros
72,165,17.41,2024-09-19,Vasconcelos,576,Mariana da Costa,48,Vasconcelos,Eletrodomésticos
73,131,14.58,2024-06-08,Pastor,73,Ravi Lucca Pires,65,Pastor,Eletrônicos
73,131,14.58,2024-06-08,Pastor,210,Srta. Valentina da Costa,33,Pastor,Roupas
73,131,14.58,2024-06-08,Pastor,392,Camila Guerra,60,Pastor,Eletrônicos
73,131,14.58,2024-06-08,Pastor,704,Mariah Souza,21,Pastor,Roupas
73,131,14.58,2024-06-08,Pastor,899,Bryan Garcia,47,Pastor,Livros
73,131,14.58,2024-06-08,Pastor,920,Heloisa Vasconcelos,65,Pastor,Jogos
73,131,14.58,2024-06-08,Pastor,943,Benício Melo,42,Pastor,Livros
74,143,66.93,2023-12-04,Carvalho,74,Gabrielly Teixeira,63,Carvalho,Roupas
74,143,66.93,2023-12-04,Carvalho,90,Natália Viana,60,Carvalho,Livros
74,143,66.93,2023-12-04,Carvalho,507,Augusto Camargo,56,Carvalho,Eletrônicos
74,143,66.93,2023-12-04,Carvalho,603,Ágatha da Costa,80,Carvalho,Jogos
74,143,66.93,2023-12-04,Carvalho,660,Felipe Duarte,48,Carvalho,Roupas
75,173,61.65,2023-12-05,Peixoto do Oeste,75,Matheus Silva,42,Peixoto do Oeste,Roupas
76,146,23.45,2024-09-16,Ramos,13,Dr. Davi Rocha,54,Ramos,Livros
76,146,23.45,2024-09-16,Ramos,76,Bruna da Mota,73,Ramos,Jogos
76,146,23.45,2024-09-16,Ramos,187,Gael Henrique da Cruz,68,Ramos,Jogos
76,146,23.45,2024-09-16,Ramos,578,Mathias Correia,43,Ramos,Livros
76,146,23.45,2024-09-16,Ramos,994,Dra. Cecília Sousa,68,Ramos,Livros
77,197,8.56,2024-05-12,Mendonça Paulista,77,Lucca Vieira,31,Mendonça Paulista,Roupas
78,137,13.67,2024-03-06,Porto,78,Diego Teixeira,31,Porto,Roupas
78,137,13.67,2024-03-06,Porto,372,Zoe Fernandes,23,Porto,Eletrônicos
78,137,13.67,2024-03-06,Porto,573,Yasmin Montenegro,24,Porto,Jogos
78,137,13.67,2024-03-06,Porto,721,Davi Miguel Correia,33,Porto,Eletrodomésticos
78,137,13.67,2024-03-06,Porto,799,Davi Aparecida,47,Porto,Eletrônicos
78,137,13.67,2024-03-06,Porto,963,Jade Garcia,70,Porto,Eletrônicos
79,149,91.14,2024-04-05,Pereira das Pedras,79,Hellena Silveira,22,Pereira das Pedras,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,80,Nicole Souza,18,da Mota,Jogos
80,186,54.66,2024-03-23,da Mota,114,Sr. Pedro da Mota,72,da Mota,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,174,Otto Barros,28,da Mota,Jogos
80,186,54.66,2024-03-23,da Mota,266,Ana Lívia Fogaça,32,da Mota,Eletrônicos
80,186,54.66,2024-03-23,da Mota,368,Benjamim Gonçalves,18,da Mota,Eletrônicos
80,186,54.66,2024-03-23,da Mota,488,Henry Montenegro,43,da Mota,Eletrônicos
80,186,54.66,2024-03-23,da Mota,508,Carlos Eduardo Martins,59,da Mota,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,546,Liam Pinto,62,da Mota,Livros
80,186,54.66,2024-03-23,da Mota,650,Dr. Marcelo Gonçalves,33,da Mota,Jogos
80,186,54.66,2024-03-23,da Mota,788,Ester da Paz,40,da Mota,Roupas
80,186,54.66,2024-03-23,da Mota,797,Sr. Theo Abreu,18,da Mota,Eletrodomésticos
80,186,54.66,2024-03-23,da Mota,986,Daniel Moura,63,da Mota,Eletrônicos
81,185,44.98,2023-11-06,Montenegro dos Dourados,81,Maria Eduarda Brito,38,Montenegro dos Dourados,Jogos
82,141,71.21,2023-10-19,Sousa do Sul,82,Yan Cunha,52,Sousa do Sul,Jogos
82,141,71.21,2023-10-19,Sousa do Sul,166,Ana Júlia Câmara,64,Sousa do Sul,Livros
83,148,87.79,2024-03-14,da Cruz,83,João Vitor Ramos,68,da Cruz,Livros
83,148,87.79,2024-03-14,da Cruz,292,Alice Araújo,27,da Cruz,Roupas
83,148,87.79,2024-03-14,da Cruz,410,Raul Borges,56,da Cruz,Jogos
83,148,87.79,2024-03-14,da Cruz,961,Ana Júlia da Cunha,28,da Cruz,Roupas
84,197,59.98,2024-09-23,Pinto,84,Carlos Eduardo Vieira,55,Pinto,Jogos
84,197,59.98,2024-09-23,Pinto,325,Felipe Azevedo,69,Pinto,Eletrodomésticos
84,197,59.98,2024-09-23,Pinto,553,Cecilia Sousa,38,Pinto,Eletrodomésticos
84,197,59.98,2024-09-23,Pinto,615,Maria Vitória Castro,45,Pinto,Livros
84,197,59.98,2024-09-23,Pinto,809,Nicole Ribeiro,18,Pinto,Roupas
85,172,85.24,2024-02-19,Camargo,8,Isaac Farias,59,Camargo,Roupas
85,172,85.24,2024-02-19,Camargo,85,Rafael Casa Grande,45,Camargo,Jogos
85,172,85.24,2024-02-19,Camargo,88,Evelyn Barbosa,44,Camargo,Eletrônicos
